0,,11,22
366,Cape Town,-33.9248685,18.4240553
367,Nordolk Island,-29.040835,167.954712
368,Portsmouth / Gibraltar,36.1313001,-5.3553108
369,King Georges Sounds,-35.0458333,117.9733333
370,London via Cape Town,-33.8917421,18.681864
371,Queenstown and Gibraltar,-45.0311622,168.6626435
372,London via Sourabaya,51.5073509,-0.1277583
373,Bird Island,17.35,-88.3
374,Chappell Island,-40.2694291,147.9247776
375,"Port Nicholson, New Zealand",-41.2864603,174.776236
376,"Nelson, New Zealand",-41.2706319,173.2839653
377,Hokianga New Zealand,-35.4333687,173.4842261
378,Liverpool and Cape of Good Hope,-34.3568425,18.4739882
379,Mauritius (Isle of France),-20.3,57.5833333
380,London and Norfolk Island,-29.0353543,167.9431901
381,"Canterbury, New Zealand",-43.7542275,171.1637245
382,Norfolk,36.8507689,-76.28587259999999
383,Penang and Singapore,1.3073054,103.835584
384,Surabaya,-7.2574719,112.7520883
385,Wongeroa New Zealand,-35.0463715,173.7449731
386,Liverpool and Madeira,53.4083714,-2.9915726
387,Buenos Aires,-34.6036844,-58.3815591
388,Dublin and Swan River,53.30592859999999,-6.3208421
389,Invercargill via Stewarts Island,-46.415634,168.321703
390,Dunedin via Lyttelton,-45.8787605,170.5027976
391,Shearness,39.2720568,-75.469922
392,"Deptford, Falmouth",39.8227054,-75.11951069999999
393,Bengal,22.9867569,87.8549755
394,Craverend,-1,-1
395,Geelong via West Hunter's Island,-38.1499181,144.3617186
396,Macao,22.198745,113.543873
397,Mauritius and London,51.4976994,-0.1817269
398,Island of Desolation,-49.1602433,69.5816287
399,Port Loius,-20.1608912,57.5012222
400,India,20.593684,78.96288
401,"Otago, NZ",-45.47906709999999,170.1547567
402,Calcutta and Port Adelaide,22.572646,88.36389500000001
403,London and Rio de Janiero,-22.8092906,-43.195509
404,Deal,36.1475076,-95.9104326
405,Twoflod Bay,-37.0843679,149.9276991
406,Gibraltar,36.140751,-5.353585
407,St John's New Brunswick,45.2733153,-66.06330799999999
408,"Swan River, Coles Bat",-42.0869027,148.2326933
409,Canton and Manila,14.5995124,120.9842195
410,Port Camille &amp; Anxious Bay,-1,-1
411,Dundee,45.27958539999999,-123.0095137
412,Auckland Islands,-50.6921774,166.0799129
413,Port Jackson NSW,-33.8462182,151.2488616
414,19,36.1653974,-95.76545109999999
415,Hambourgh,53.5510846,9.9936819
